iter	Passed	Remaining
1543	2488	7183
1544	2490	7182
1545	2492	7180
1546	2494	7179
1547	2495	7177
1548	2497	7175
1549	2498	7173
1550	2500	7172
1551	2501	7170
1552	2503	7168
1553	2505	7167
1554	2506	7165
1555	2508	7164
1556	2510	7162
1557	2511	7160
1558	2513	7159
1559	2514	7157
1560	2516	7155
1561	2517	7153
1562	2519	7152
1563	2521	7151
1564	2522	7149
1565	2524	7148
1566	2526	7146
1567	2528	7145
1568	2529	7144
1569	2531	7142
1570	2532	7140
1571	2534	7139
1572	2536	7138
1573	2538	7136
1574	2539	7135
1575	2541	7134
1576	2543	7133
1577	2545	7132
1578	2546	7131
1579	2548	7130
1580	2550	7129
1581	2552	7127
1582	2553	7125
1583	2555	7124
1584	2557	7123
1585	2559	7122
1586	2561	7121
1587	2563	7121
1588	2565	7121
1589	2567	7121
1590	2569	7121
1591	2571	7121
1592	2573	7120
1593	2575	7119
1594	2577	7119
1595	2579	7118
1596	2581	7117
1597	2583	7116
1598	2585	7115
1599	2587	7114
1600	2588	7113
1601	2590	7112
1602	2592	7110
1603	2594	7109
1604	2596	7110
1605	2598	7109
1606	2600	7109
1607	2602	7107
1608	2604	7107
1609	2605	7105
1610	2607	7105
1611	2610	7104
1612	2612	7105
1613	2614	7104
1614	2616	7103
1615	2618	7103
1616	2620	7103
1617	2622	7102
1618	2624	7101
1619	2626	7101
1620	2628	7100
1621	2630	7099
1622	2632	7098
1623	2633	7097
1624	2635	7096
1625	2637	7094
1626	2638	7092
1627	2641	7092
1628	2642	7091
1629	2644	7089
1630	2646	7088
1631	2647	7086
1632	2649	7085
1633	2651	7083
1634	2652	7081
1635	2654	7080
1636	2655	7078
1637	2657	7077
1638	2659	7075
1639	2660	7073
1640	2662	7072
1641	2664	7070
1642	2665	7069
1643	2667	7066
1644	2668	7064
1645	2669	7062
1646	2671	7061
1647	2673	7059
1648	2674	7057
1649	2676	7056
1650	2678	7054
1651	2679	7052
1652	2681	7050
1653	2682	7048
1654	2684	7046
1655	2685	7044
1656	2687	7043
1657	2689	7042
1658	2690	7040
1659	2692	7038
1660	2693	7036
1661	2695	7034
1662	2696	7032
1663	2698	7030
1664	2699	7029
1665	2701	7027
1666	2703	7026
1667	2704	7025
1668	2706	7023
1669	2707	7021
1670	2709	7019
1671	2711	7017
1672	2712	7015
1673	2714	7014
1674	2715	7012
1675	2717	7011
1676	2719	7009
1677	2720	7007
1678	2722	7005
1679	2723	7003
1680	2725	7001
1681	2726	6999
1682	2728	6997
1683	2729	6996
1684	2731	6994
1685	2733	6993
1686	2734	6991
1687	2736	6990
1688	2738	6989
1689	2740	6987
1690	2741	6985
1691	2742	6983
1692	2744	6982
1693	2746	6980
1694	2748	6979
1695	2749	6978
1696	2751	6977
1697	2753	6975
1698	2754	6973
1699	2756	6971
1700	2757	6970
1701	2759	6968
1702	2761	6967
1703	2763	6965
1704	2764	6964
1705	2766	6963
1706	2767	6961
1707	2769	6959
1708	2771	6958
1709	2772	6956
1710	2774	6954
1711	2776	6952
1712	2777	6951
1713	2779	6950
1714	2780	6948
1715	2782	6946
1716	2784	6945
1717	2785	6943
1718	2787	6941
1719	2788	6939
1720	2790	6938
1721	2792	6937
1722	2794	6935
1723	2795	6933
1724	2797	6931
1725	2798	6929
1726	2799	6927
1727	2801	6925
1728	2802	6923
1729	2804	6921
